
Domain,IP_Address,OrgName,Country,Mnt-By,Abuse_Mailbox
vpn-ca.iad.github.com,185.199.109.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vpn-ca.iad.github.com,185.199.110.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vpn-ca.iad.github.com,185.199.111.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vpn-ca.iad.github.com,185.199.108.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
www.github.com,20.217.135.5,Microsoft Corporation,US,,
gist.github.com,20.217.135.5,Microsoft Corporation,US,,
support.enterprise.github.com,140.82.114.17,"GitHub, Inc.",US,,
ws.support.github.com,140.82.114.21,"GitHub, Inc.",US,,
ws.support.github.com,140.82.113.22,"GitHub, Inc.",US,,
ws.support.github.com,140.82.113.21,"GitHub, Inc.",US,,
ws.support.github.com,140.82.112.22,"GitHub, Inc.",US,,
ws.support.github.com,140.82.112.21,"GitHub, Inc.",US,,
ws.support.github.com,140.82.114.22,"GitHub, Inc.",US,,
api.security.github.com,140.82.112.21,"GitHub, Inc.",US,,
emails.github.com,104.17.71.206,"Cloudflare, Inc.",US,,
emails.github.com,104.17.70.206,"Cloudflare, Inc.",US,,
emails.github.com,104.17.73.206,"Cloudflare, Inc.",US,,
emails.github.com,104.17.72.206,"Cloudflare, Inc.",US,,
emails.github.com,104.17.74.206,"Cloudflare, Inc.",US,,
communication.github.com,192.243.228.1,Adobe Inc.,US,,
skyline.github.com,185.199.108.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
skyline.github.com,185.199.111.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
skyline.github.com,185.199.110.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
skyline.github.com,185.199.109.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
visualstudio.github.com,140.82.114.17,"GitHub, Inc.",US,,
help.github.com,140.82.114.17,"GitHub, Inc.",US,,
docs.github.com,185.199.111.154,"GitHub, Inc.",US,us-github-1-mnt,@github.com
docs.github.com,185.199.108.154,"GitHub, Inc.",US,us-github-1-mnt,@github.com
docs.github.com,185.199.109.154,"GitHub, Inc.",US,us-github-1-mnt,@github.com
docs.github.com,185.199.110.154,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vscode-auth.github.com,185.199.108.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vscode-auth.github.com,185.199.109.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vscode-auth.github.com,185.199.111.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
vscode-auth.github.com,185.199.110.153,"GitHub, Inc.",US,us-github-1-mnt,@github.com
