port,vulns,org,country_name,city,ip_str,domains,hostnames
264,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
443,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
80,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
80,,Ben Gurion University,Israel,Beersheba,132.72.6.1,,
443,,Ben Gurion University,Israel,Beersheba,132.72.124.233,,
264,,Ben Gurion University,Israel,Beersheba,132.72.211.254,,
18264,,Ben Gurion University,Israel,Beersheba,132.72.124.126,,
53,,Ben Gurion University,Israel,Beersheba,132.72.140.45,bgu.ac.il,dns2.bgu.ac.il
264,,Ben Gurion University,Israel,Beersheba,132.72.179.65,,
264,,Ben Gurion University,Israel,Beersheba,132.72.84.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.124.233,,
443,,Ben Gurion University,Israel,Beersheba,132.72.23.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.6.1,,
264,,Ben Gurion University,Israel,Beersheba,132.72.24.1,,
264,,Ben Gurion University,Israel,Beersheba,132.72.23.254,,
80,,Ben Gurion University,Israel,Beersheba,132.72.23.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.163.254,,
443,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
80,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
443,,Ben Gurion University,Israel,Beersheba,132.72.145.254,,
80,,Ben Gurion University,Israel,Beersheba,132.72.145.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
443,,Ben Gurion University,Israel,Beersheba,132.72.116.201,,
80,,Ben Gurion University,Israel,Beersheba,132.72.124.233,,
264,,Ben Gurion University,Israel,Beersheba,132.72.124.5,,
443,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
80,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
18264,,Ben Gurion University,Israel,Beersheba,132.72.174.232,,
264,,Ben Gurion University,Israel,Beersheba,132.72.179.66,,
264,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.86.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.174.232,,
264,,Ben Gurion University,Israel,Beersheba,132.72.160.254,,
25,,Ben Gurion University,Israel,Beersheba,132.72.23.15,bgu.ac.il,mx3.bgu.ac.il
264,,Ben Gurion University,Israel,Beersheba,132.72.60.254,bgu.ac.il,center4.bgu.ac.il
2628,,Ben Gurion University,Israel,Beersheba,132.72.140.46,bgu.ac.il,dns1.bgu.ac.il
264,,Ben Gurion University,Israel,Beersheba,132.72.80.254,,
264,,Ben Gurion University,Israel,Beersheba,132.72.120.254,bgu.ac.il,center1.bgu.ac.il
