IP,Port,Vulnerabilities,Country,City,Domains,Hostnames,Mnt-By,Abuse Mailbox
132.72.118.87,80,,Israel,Beersheba,bgu.ac.il,tamrur.bgu.ac.il,,
3.86.37.148,,,US,,libguides.bgu.ac.il,,,
34.149.87.45,,,US,,naslab.ise.bgu.ac.il,,,
172.64.148.16,,,US,,cris.bgu.ac.il,,,
104.18.39.240,,,US,,cris.bgu.ac.il,,,
162.159.136.91,,,US,,kaf.moodle2.bgu.ac.il,,,
185.199.108.153,,,US,,maarag.bgu.ac.il,,us-github-1-mnt,@github.com
185.199.111.153,,,US,,maarag.bgu.ac.il,,us-github-1-mnt,@github.com
185.199.110.153,,,US,,maarag.bgu.ac.il,,us-github-1-mnt,@github.com
185.199.109.153,,,US,,maarag.bgu.ac.il,,us-github-1-mnt,@github.com
18.213.162.18,,,US,,medlibcal.bgu.ac.il,,,
195.225.46.15,,,IL,,hodlab.bgu.ac.il,,SPD-MNT,
132.72.118.41,443,,Israel,Beersheba,bgu.ac.il,bgu.ac.il,AS378-MNT,
1.1.1.1,,,AU,,ciscowlc.bgu.ac.il,,MAINT-APNICRANDNET,@apnic.net
13.107.246.62,,,US,,zmani2.bgu.ac.il,,,
172.64.153.235,,,US,,join.bgu.ac.il,,,
104.18.34.21,,,US,,join.bgu.ac.il,,,
199.60.103.225,,,US,,lp.msih.bgu.ac.il,,,
199.60.103.31,,,US,,lp.msih.bgu.ac.il,,,
132.72.6.1,443,,Israel,Beersheba,,,,
132.72.116.91,8640,"CVE-2023-44487, CVE-2021-23017, CVE-2021-3618",Israel,Beersheba,,,,
132.72.116.86,80,,Israel,Beersheba,,,,
132.72.118.85,443,,Israel,Beersheba,bgu.ac.il,"bgu.ac.il, pureauth.bgu.ac.il",,
132.72.118.23,443,,Israel,Beersheba,bgu.ac.il,bgu.ac.il,,
132.72.84.254,264,,Israel,Beersheba,,,,
132.72.118.94,443,,Israel,Beersheba,bgu.ac.il,physics.bgu.ac.il,,
